date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:17	67/67	---M--	200	added ('OK')	text/plain	date:Fri,%2030%20Jul%202021%2021:01:17%20GMT	https://socialistics.com/robots.txt		(from )
23:01:18	127901/127901	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jul%202021%2021:01:17%20GMT	https://socialistics.com/	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/index.html	(from )
23:01:18	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2030%20Jul%202021%2021:01:18%20GMT	https://socialistics.com/xmlrpc.php	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/xmlrpc.php	(from https://socialistics.com/)
23:01:18	80574/80574	---MCZ	200	added ('OK')	text/css	etag:W/%2260f70e38-13abe%22	https://socialistics.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-includes/css/dist/block-library/style.min41a3.css	(from https://socialistics.com/)
23:01:19	206521/206521	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22939148cb210b18c95653260ad9620b24-gzip%22	https://socialistics.com/feed/	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/feed/index.html	(from https://socialistics.com/)
23:01:19	70/70	---M--	200	added ('OK')	text/css	etag:%22608ae1d9-46%22	https://socialistics.com/wp-content/plugins/activecampaign-subscription-forms/activecampaign-form-block/build/style-index.css?ver=1619714521	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/activecampaign-subscription-forms/activecampaign-form-block/build/style-indexe1e1.css	(from https://socialistics.com/)
23:01:19	1206/1206	---MCZ	200	added ('OK')	text/css	etag:W/%226088a005-4b6%22	https://socialistics.com/wp-content/plugins/author-box-for-divi/css/user.css?ver=5.8	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/author-box-for-divi/css/user41a3.css	(from https://socialistics.com/)
23:01:19	98/98	---M--	200	added ('OK')	text/css	etag:%22603522a5-62%22	https://socialistics.com/wp-content/plugins/child-theme-generator/public/css/child-theme-generator-public.css?ver=1.0.0	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/child-theme-generator/public/css/child-theme-generator-public8a54.css	(from https://socialistics.com/)
23:01:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2030%20Jul%202021%2021:01:20%20GMT	https://socialistics.com/comments/feed/	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/comments/feed/index.html	(from https://socialistics.com/)
23:01:20	2640/2640	---MCZ	200	added ('OK')	text/css	etag:W/%2260f0c244-a50%22	https://socialistics.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.2	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/contact-form-7/includes/css/styles7661.css	(from https://socialistics.com/)
23:01:20	3904/3904	---MCZ	200	added ('OK')	text/css	etag:W/%22605bca3d-f40%22	https://socialistics.com/wp-content/plugins/socialistics-calculator/assets/calc_style.css?ver=1.0.0.38	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/socialistics-calculator/assets/calc_style78d8.css	(from https://socialistics.com/)
23:01:20	824720/824720	---MCZ	200	added ('OK')	text/css	etag:W/%2260f70e25-c9590%22	https://socialistics.com/wp-content/themes/Divi/style.css?ver=5.8	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/themes/Divi/style41a3.css	(from https://socialistics.com/)
23:01:21	404/404	---MCZ	200	added ('OK')	text/css	etag:W/%2260387f39-194%22	https://socialistics.com/wp-content/themes/Divi-child/style.css?ver=5.8	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/themes/Divi-child/style41a3.css	(from https://socialistics.com/)
23:01:21	404/404	---MCZ	200	added ('OK')	text/css	etag:W/%2260387f39-194%22	https://socialistics.com/wp-content/themes/Divi-child/style.css?ver=4.9.10	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/themes/Divi-child/style8e83.css	(from https://socialistics.com/)
23:01:22	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%22b227b1617a1763c8bc056772f05482b4%22	https://use.fontawesome.com/releases/v5.15.1/css/all.css	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/use.fontawesome.com/releases/v5.15.1/css/all.css	(from https://socialistics.com/)
23:01:22	13737/13737	---MCZ	200	added ('OK')	text/css	etag:W/%225fa4d8e7-35a9%22	https://socialistics.com/wp-content/plugins/range-slider-for-gravity-form/includes/css/style.css?ver=2.0.0	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/range-slider-for-gravity-form/includes/css/style001e.css	(from https://socialistics.com/)
23:01:22	33335/33335	---MCZ	200	added ('OK')	text/css	etag:W/%225fa4d8e7-8237%22	https://socialistics.com/wp-content/plugins/range-slider-for-gravity-form/includes/js/jquery-ui.css?ver=2.0.0	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/range-slider-for-gravity-form/includes/js/jquery-ui001e.css	(from https://socialistics.com/)
23:01:22	9138/9138	---MCZ	200	added ('OK')	text/css	etag:W/%225fa4d8e7-23b2%22	https://socialistics.com/wp-content/plugins/range-slider-for-gravity-form/includes/js/jquery-ui-slider-pips.css?ver=2.0.0	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/range-slider-for-gravity-form/includes/js/jquery-ui-slider-pips001e.css	(from https://socialistics.com/)
23:01:22	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%220a121a1f354de051316c4fff1ebd1f4d%22	https://use.fontawesome.com/releases/v5.15.1/css/v4-shims.css	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/use.fontawesome.com/releases/v5.15.1/css/v4-shims.css	(from https://socialistics.com/)
23:01:23	9170/9170	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260f0c24a-23d2%22	https://socialistics.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=7.18.0	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min3b7f.js	(from https://socialistics.com/)
23:01:23	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260f70e38-15db1%22	https://socialistics.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://socialistics.com/)
23:01:23	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%226001dd8b-2bd8%22	https://socialistics.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://socialistics.com/)
23:01:24	838/838	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603522a5-346%22	https://socialistics.com/wp-content/plugins/child-theme-generator/public/js/child-theme-generator-public.js?ver=1.0.0	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/child-theme-generator/public/js/child-theme-generator-public8a54.js	(from https://socialistics.com/)
23:01:25	253669/253669	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-3dee5%22	https://cdnjs.cloudflare.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js?ver=5.8	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/cdnjs.cloudflare.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min41a3.js	(from https://socialistics.com/)
23:01:25	1301/1301	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fa4d8e7-515%22	https://socialistics.com/wp-content/plugins/range-slider-for-gravity-form/includes/js/jquery.ui.touch-punch.min.js?ver=2.0.0	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/range-slider-for-gravity-form/includes/js/jquery.ui.touch-punch.min001e.js	(from https://socialistics.com/)
23:01:25	451723/451723	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fa4d8e7-6e48b%22	https://socialistics.com/wp-content/plugins/range-slider-for-gravity-form/includes/js/jquery-ui.js?ver=2.0.0	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/range-slider-for-gravity-form/includes/js/jquery-ui001e.js	(from https://socialistics.com/)
23:01:25	24135/24135	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fe02f84-5e47%22	https://socialistics.com/wp-content/plugins/range-slider-for-gravity-form/includes/js/jquery-ui-slider-pips.js?ver=2.7.0	C:/My%20Web%20Sites/S%20O%20C%20I%20A%20L%20I%20S%20T%20I%20C%20S/socialistics.com/wp-content/plugins/range-slider-for-gravity-form/includes/js/jquery-ui-slider-pips4250.js	(from https://socialistics.com/)
